accommodates,bathrooms,bed_type,bedrooms,beds,date_from,date_o,date_rom,date_to,has_availability,host_image,host_name,image,listing_url,location,name,price,property_type,room_type
2,1,Real Bed,1,1,20170511,,,20170404,TRUE,"https://a2.muscache.com/ac/users/8993/profile_pic/1259099918/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Maddy,https://a1.muscache.com/im/pictures/548904/1367b970_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/5682,,"Cozy Studio, min. to downtown -WiFi",249,Apartment,Entire home/apt
2,1,Real Bed,1,1,20170430,,,20170416,TRUE,"https://a0.muscache.com/ac/users/14004230/profile_pic/1399866485/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Corey & Bethanie,https://a1.muscache.com/im/pictures/43529828/c5fbde68_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/2737012,,"Cozy, Garden Studio in West Seattle",15,House,Entire home/apt
2,1,Real Bed,1,1,20170331,,,20170415,TRUE,"https://a0.muscache.com/ac/users/5435488/profile_pic/1444283887/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Valerie,https://a2.muscache.com/im/pictures/320f3a63-4069-463d-87ae-f0d67c692f83.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8743202,,Urban Retreat in West Seattle,141,Townhouse,Private room
6,1,Real Bed,3,3,20170402,,,20170511,TRUE,"https://a0.muscache.com/ac/users/5507055/profile_pic/1364186270/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Lori & Rob,https://a0.muscache.com/im/pictures/17050657/bf9f7ecd_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/1003890,,PRIVATE 3 BEDROOM HOME,107,House,Entire home/apt
1,1,Real Bed,1,1,20170329,,,20170401,TRUE,"https://a0.muscache.com/ac/users/44468692/profile_pic/1442546726/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Maneesh,https://a1.muscache.com/im/pictures/107418713/7b24db48_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8446120,,Inverness1,83,House,Private room
3,1,Real Bed,1,1,20170415,,,20170421,TRUE,"https://a0.muscache.com/ac/users/35408303/profile_pic/1433880157/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Fabio,https://a1.muscache.com/im/pictures/103873253/484543fe_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8153673,,NE of UW mother in law apartment,118,Apartment,Entire home/apt
4,2,Real Bed,2,2,20170512,,,20170520,TRUE,"https://a2.muscache.com/ac/pictures/a63359cf-015b-4a39-b648-af74c5c6cc65.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Jolanta,https://a0.muscache.com/im/pictures/101122692/69e67274_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/7936712,,Stunning Magnuson Park Condo,41,Apartment,Entire home/apt
2,1,Real Bed,1,1,20170403,,,20170429,TRUE,"https://a2.muscache.com/ac/pictures/8897dc06-838c-4518-9ac6-0f86c28c81f5.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",David,https://a0.muscache.com/im/pictures/89073416/9c1dbaa3_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/2642359,,"Lg private bed/BA, parking, near UW",87,Loft,Private room
6,2,Real Bed,4,4,20170413,,,20170522,TRUE,"https://a1.muscache.com/ac/users/13208087/profile_pic/1438389301/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Bryce,,https://www.airbnb.com/rooms/6528342,,Group / family home for Christmas,147,House,Entire home/apt
5,1,Real Bed,2,3,20170419,,,20170413,TRUE,"https://a2.muscache.com/ac/pictures/b51c319c-1c73-4cee-880e-a18f8085d5d0.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Melissa,https://a2.muscache.com/im/pictures/1dda3aa1-e160-4cb8-a619-e4e3670d9237.jpg?aki_policy=medium,https://www.airbnb.com/rooms/9820818,,View Ridge Cottage on Burke-Gilman,206,Apartment,Entire home/apt
